,name,gender
2287,sunena,0
2299,garib,1
2306,mogli,1
2310,jankidas,1
2325,dhrmveer,1
2333,puspak,1
2340,danwati,0
2342,muskhan,0
2350,birij,1
2355,sheh,1
2356,smt.kalawati,0
2373,neela,0
2383,mantosh,1
2390,gandharv,1
2404,manver,1
2407,bandani,0
2409,jafar,1
2428,mujeeb,1
2430,girja,0
2431,bashudev,1
2445,joohi,0
2450,jaimata,0
2455,mukiman,0
2458,jisan,1
2462,pooja/varsha,0
2463,mahinudin,1
2476,seti,1
2482,noornabi,1
2488,michael,1
2492,bapu,1
2493,nashrin,0
2499,rimzim,0
2507,asrf,1
2511,shatish,1
2512,vajid,1
2527,bhupen,1
2531,mohatter,1
2537,long,0
2540,jeevanlata,0
2550,satnosh,1
2552,ikramuddin,1
2559,a.,1
2562,sushhmita,0
2568,saroja,0
2575,mandan,1
2579,bhismpal,1
2581,tabbwum,0
2585,laja,0
2592,afarin,0
2599,sahbaj,1
2606,sajruddin,1
2615,dhermendra,1
2616,aayana,0
2628,justin,1
2637,pancu,1
2660,kulbir,1
2668,bishesh,1
2680,cheete,1
2681,naroo,1
2693,bantu,0
2694,wiresh,1
2696,anusoya,0
2703,shokesh,1
2704,bharma,1
2705,teja,0
2709,satyvati,0
2712,deepaak,1
2717,shayma,0
2723,rimpi,0
2724,munnakumar,1
2727,mubshshira,0
2741,parashu,1
2742,farhaja,0
2750,beera,0
2762,nashimuddin,1
2769,nikhad,0
2787,shivkumari,0
2799,kunj,1
2807,afsari,0
2810,mansharam,1
2817,arbaz,1
2827,wilkish,0
2834,rahnuma,0
2840,anshuman,1
2845,ravena,0
2853,saud,1
2864,shishul,1
2881,tirath,1
2889,roopam,0
2898,satosh,0
2905,hanshraj,1
2907,devanti,0
2914,ayasha,0
2918,dila,0
2919,soam,0
2927,khushbari@,0
2935,bupal,1
2936,gursimaran,1
2946,udita,0
2947,shri.,0
2948,firoza,0
2949,ikbal,1
2953,handu,1
2958,sabbar@,1
2959,sahi,1
2969,subhodh,1
2974,vikaram,1
2977,tilk,1
2979,omi,1
2982,rihal,1
2985,neemi,0
2996,noorjama,1
2997,poshetty,1
2998,naraini,0
3005,toshar,1
3007,saridevi,0
3011,abhisekh,1
3019,captain,0
3020,nafe,1
3026,hera,1
3027,najo,0
3030,jhuhi,0
3031,sakhichander,1
3042,sagiran,0
3048,swarn,1
3049,sirish,0
3056,santrm,1
3059,panchu,0
3062,shaving,0
3063,wajuddin,1
3064,deerendra,1
3065,vasa,1
3069,vandhna,0
3075,rubiya,0
3078,jalmi,1
3082,hini,0
3083,manit,1
3097,manbai,0
3099,ameera,0
3100,devendr,1
3111,kavilash,1
3115,sharmistha,0
3118,keshri,1
3122,udaiy,1
3129,majunew,1
3133,emilia,1
3139,masheen,1
3149,guddiya,0
3156,rebecca,0
3164,girijarani,0
3165,chaturbhuj,1
3169,binpal,1
3186,kela,0
3192,sandhaya,1
3198,prati,0
3203,devideen,0
3206,sarjaha,0
3223,seweta,0
3243,santo,0
3250,biru,1
3251,pakhali,0
3264,amrat,0
3274,shamshudin,1
3285,sainky,1
3290,ujjwal,1
3291,rooshi,0
3301,ramgopal,1
3303,balkishan,1
3308,narendar,1
3313,anandu,1
3315,janta,1
3316,nur,1
3328,ramniwasj,1
3331,grace,0
3338,hoor,0
3348,mohanram,1
3363,kayamuddin,1
3374,sukjveer,1
3385,amuchla,1
3395,saista,0
3397,ramsewak,1
3409,damodar,1
3421,narsa,1
3423,pitar,1
3434,biwa,0
3438,mangta,1
3439,mehru,0
3441,tasnim,0
3446,navendra,1
3500,pragati,0
3510,vrendra,1
3511,chatan,1
3512,kuldeel,1
3514,samay,1
3530,kanahiya,1
3538,shyoram,1
3563,sharjprit,0
3571,husain,1
3574,ajju,0
3592,deepka,0
3593,umesha,0
3600,deou,0
3605,vedh,1
3607,surindera,1
3609,kelama,0
3611,rishaw,1
3621,jasmen,0
3651,punarjyoti,1
3670,najreen,0
3673,panmati,0
3720,nishtha,0
3724,dashrath,1
3746,bhanmati,0
3761,akkni,1
3785,sudhdev,1
3789,kaleem,1
3791,harman,1
3797,tapender,1
3800,anjeev,1
3801,ashwani@manish,1
3815,jasleen,0
3823,motilal,1
3826,shushil,1
3838,jhanjhariya,0
3841,dulichand,1
3842,anadi,0
3843,revakshi,0
3852,harnam,1
3853,rosina,0
3868,mukat,1
3869,rupendra,1
3889,baijnath,1
3893,kabir,1
3898,dharmendera,1
3900,reka,0
3901,vinna,0
3909,geetika,0
3913,rasmi,0
3924,laddha,1
3938,najubai,1
3948,dishad,1
3961,deba,1
3967,kapiil,1
3969,gomti,1
3996,atu,1
4005,rainu,0
4008,upendra,1
4018,bhimsen,1
4020,bhiki,0
4027,chhotelal,1
4029,rachpreet,0
4036,mahvish,0
4047,nooralha,1
4055,gd,1
